simulacion,n,hostname,procesador,ram_gb,python_version,algoritmo,tiempo,memoria_kb,nodos,solucion_encontrada
39,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.739999712910503e-05,1.3203125,16,True
39,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.1400006264448166e-05,0.1484375,9,True
40,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.7200010158121586e-05,1.3203125,16,True
40,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.2099997042678297e-05,0.1484375,9,True
41,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.780000017490238e-05,1.3203125,16,True
41,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.1499992473982275e-05,0.1484375,9,True
42,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.7200010158121586e-05,1.3203125,16,True
42,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.159999323543161e-05,0.1484375,9,True
43,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.6900007873773575e-05,1.3203125,16,True
43,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.100000321865082e-05,0.1484375,9,True
44,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.669999179895967e-05,1.3203125,16,True
44,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.090000245720148e-05,0.1484375,9,True
45,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.6900007873773575e-05,1.3203125,16,True
45,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.1400006264448166e-05,0.1484375,9,True
46,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.6999994083307683e-05,1.3203125,16,True
46,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.120000474154949e-05,0.1484375,9,True
47,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.700000863522291e-05,1.3203125,16,True
47,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.199999628122896e-05,0.1484375,9,True
48,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.84000047435984e-05,1.3203125,16,True
48,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.650000144261867e-05,0.1484375,9,True
49,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.820000322069973e-05,1.3203125,16,True
49,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.159999323543161e-05,0.1484375,9,True
50,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.229999078437686e-05,1.3203125,16,True
50,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.15000070258975e-05,0.1484375,9,True
51,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.8600006266497076e-05,1.3203125,16,True
51,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,5.01000031363219e-05,0.1484375,9,True
52,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.839999019168317e-05,1.3203125,16,True
52,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.12999909510836e-05,0.1484375,9,True
53,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.92000108351931e-05,1.3203125,16,True
53,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.159999323543161e-05,0.1484375,9,True
