simulacion,objetos,algoritmo,pesos,valores,capacidad,tiempo,memoria_kb,nodos,valor_optimo
39,8,BFS,"[15, 15, 15, 6, 3, 14, 12, 10]","[12, 3, 8, 10, 15, 18, 10, 26]",36,0.00017990003107115626,3.921875,232,69
39,8,DFS,"[15, 15, 15, 6, 3, 14, 12, 10]","[12, 3, 8, 10, 15, 18, 10, 26]",36,0.0001742999884299934,0.234375,232,69
40,8,BFS,"[11, 1, 14, 5, 11, 15, 5, 15]","[17, 22, 18, 30, 4, 5, 4, 4]",30,0.0001615999499335885,3.28125,227,74
40,8,DFS,"[11, 1, 14, 5, 11, 15, 5, 15]","[17, 22, 18, 30, 4, 5, 4, 4]",30,0.00016789999790489674,0.234375,227,74
41,10,BFS,"[12, 3, 5, 4, 6, 11, 14, 9, 5, 15]","[18, 9, 20, 23, 7, 21, 9, 16, 29, 28]",33,0.001416900020558387,38.0078125,882,109
41,10,DFS,"[12, 3, 5, 4, 6, 11, 14, 9, 5, 15]","[18, 9, 20, 23, 7, 21, 9, 16, 29, 28]",33,0.0009771000477485359,0.3828125,882,109
42,10,BFS,"[1, 11, 14, 1, 6, 3, 5, 12, 9, 7]","[3, 14, 9, 1, 25, 21, 6, 15, 23, 18]",27,0.0011746999807655811,25.625,857,91
42,10,DFS,"[1, 11, 14, 1, 6, 3, 5, 12, 9, 7]","[3, 14, 9, 1, 25, 21, 6, 15, 23, 18]",27,0.0009278999641537666,0.3671875,857,91
43,10,BFS,"[1, 2, 12, 3, 1, 6, 9, 7, 1, 6]","[4, 29, 29, 18, 27, 19, 5, 5, 10, 29]",19,0.0011903999838978052,30.0234375,873,132
43,10,DFS,"[1, 2, 12, 3, 1, 6, 9, 7, 1, 6]","[4, 29, 29, 18, 27, 19, 5, 5, 10, 29]",19,0.0009286000276915729,0.359375,873,132
44,10,BFS,"[15, 14, 15, 4, 4, 2, 13, 15, 7, 12]","[26, 2, 12, 22, 22, 12, 18, 28, 20, 5]",40,0.0011918999953195453,23.8515625,843,110
